property_id,retailer,occupancy_status,business_type,resource zone,year_col,consumption,year
1,Retailer A,Occupied,Commercial - Hotel/Motel/Boarding/Guest House,RZ01,consumption 2024,53.35,2024
2,Retailer B,Occupied,Commercial - Office,RZ04,consumption 2024,37.51,2024
4,Retailer A,Occupied,Parent Shell - Property Shell,RZ02,consumption 2024,420.63,2024
7,Retailer B,Vacant,Commercial - Retail,RZ04,consumption 2024,130.02,2024
9,Retailer B,Occupied,Commercial - Industrial,RZ08,consumption 2024,36.45,2024
10,Retailer B,Occupied,Residential - Dwelling,RZ08,consumption 2024,128.94,2024
11,Retailer D,Occupied,,RZ03,consumption 2024,115.77,2024
12,Retailer B,Occupied,,RZ02,consumption 2024,10615.97,2024
13,Retailer E,Occupied,Residential - Residential Institution,RZ06,consumption 2024,2298.74,2024
14,Retailer B,Vacant,Commercial - Utility,RZ08,consumption 2024,2.21,2024
15,Retailer B,Occupied,Commercial - Community Services,RZ04,consumption 2024,5.34,2024
16,Retailer B,Occupied,Residential - Dwelling,RZ02,consumption 2024,604.44,2024
17,Retailer B,Occupied,Commercial - Retail,RZ04,consumption 2024,118.34,2024
18,Retailer A,Vacant,Commercial - Medical,RZ08,consumption 2024,139.73,2024
19,Retailer A,Occupied,Commercial - Community Services,RZ06,consumption 2024,46.75,2024
20,Retailer B,Occupied,,RZ,consumption 2024,92.59,2024
22,Retailer E,Occupied,,RZ04,consumption 2024,424.61,2024
23,Retailer B,Vacant,Commercial - Industrial,RZ07,consumption 2024,162.89,2024
25,Retailer F,Occupied,Commercial - Industrial,RZ04,consumption 2024,688.73,2024
26,Retailer A,Occupied,Commercial - Retail,RZ03,consumption 2024,26.13,2024
27,Retailer G,Occupied,Commercial - Retail,RZ07,consumption 2024,80.84,2024
28,Retailer B,Occupied,Commercial - Office,RZ04,consumption 2024,3.16,2024
32,Retailer B,Occupied,Commercial - Retail,RZ04,consumption 2024,23.64,2024
33,Retailer D,Occupied,Commercial - Retail,RZ08,consumption 2024,30.42,2024
35,Retailer B,Occupied,Commercial - Retail,RZ03,consumption 2024,73.0,2024
36,Retailer B,Vacant,Commercial - Retail,RZ04,consumption 2024,0.67,2024
37,Retailer H,Occupied,Commercial - Retail,RZ03,consumption 2024,57.21,2024
40,Retailer B,Occupied,Commercial - Retail,RZ03,consumption 2024,106.02,2024
41,Retailer A,Occupied,Commercial - Office,RZ03,consumption 2024,8.76,2024
42,Retailer A,Occupied,Commercial - Education,RZ02,consumption 2024,556.34,2024
43,Retailer B,Vacant,Commercial - Industrial,RZ03,consumption 2024,0.0,2024
44,Retailer B,Occupied,Commercial - Industrial,RZ04,consumption 2024,19.39,2024
47,Retailer B,Occupied,Commercial - Retail,RZ08,consumption 2024,37.67,2024
50,Retailer B,Occupied,Land - Allotment,RZ08,consumption 2024,435.08,2024
51,Retailer B,Occupied,Residential - Dwelling,RZ05,consumption 2024,1278.95,2024
52,Retailer B,Occupied,Commercial - Office,RZ01,consumption 2024,232.9,2024
54,Retailer B,Occupied,Commercial - Retail,RZ03,consumption 2024,0.0,2024
55,Retailer B,Occupied,Commercial - Hotel/Motel/Boarding/Guest House,RZ03,consumption 2024,5961.21,2024
56,Retailer D,Occupied,Commercial - Retail,RZ08,consumption 2024,931.92,2024
57,Retailer B,Occupied,Commercial - Retail,RZ06,consumption 2024,63.83,2024
58,Retailer B,Occupied,,RZ06,consumption 2024,211.11,2024
59,Retailer A,Occupied,Commercial - Leisure,RZ02,consumption 2024,325.11,2024
61,Retailer A,Occupied,Commercial - Retail,RZ06,consumption 2024,159.51,2024
62,Retailer B,Vacant,Commercial - Retail,RZ03,consumption 2024,2.7,2024
63,Retailer B,Occupied,Commercial - Industrial,RZ04,consumption 2024,589.65,2024
65,Retailer B,Occupied,,RZ07,consumption 2024,0.0,2024
67,Retailer B,Vacant,,RZ03,consumption 2024,0.0,2024
68,Retailer A,Occupied,Commercial - Retail,RZ08,consumption 2024,72.15,2024
69,Retailer B,Occupied,Residential - Dwelling,RZ04,consumption 2024,9.15,2024
70,Retailer B,Occupied,Commercial - Agricultural,RZ02,consumption 2024,110.29,2024
72,Retailer B,Occupied,Commercial - Retail,RZ04,consumption 2024,137.91,2024
73,Retailer I,Occupied,Commercial - Office,RZ08,consumption 2024,254.2,2024
74,Retailer A,Occupied,Commercial - Retail,RZ01,consumption 2024,41.98,2024
76,Retailer B,Occupied,Commercial - Office,RZ05,consumption 2024,354.42,2024
77,Retailer B,Occupied,Commercial - Agricultural,RZ05,consumption 2024,3453.2,2024
78,Retailer B,Occupied,Residential - Dwelling,RZ05,consumption 2024,842.01,2024
79,Retailer A,Occupied,Commercial - Retail,RZ03,consumption 2024,28.71,2024
80,Retailer B,Occupied,Commercial - Retail,RZ07,consumption 2024,23.54,2024
81,Retailer D,Occupied,Commercial - Agricultural,RZ08,consumption 2024,191617.94,2024
82,Retailer B,Occupied,Commercial - Industrial,RZ05,consumption 2024,64.06,2024
83,Retailer B,Occupied,Commercial - Industrial,RZ08,consumption 2024,31.67,2024
84,Retailer B,Occupied,Object of Interest - Place of Worship,RZ06,consumption 2024,64.55,2024
86,Retailer B,Occupied,Commercial - Retail,RZ03,consumption 2024,143.35,2024
87,Retailer I,Occupied,Commercial - Retail,RZ03,consumption 2024,3071.95,2024
89,Retailer B,Occupied,Residential - Dwelling,RZ07,consumption 2024,27.58,2024
90,Retailer F,Occupied,Parent Shell - Property Shell,RZ04,consumption 2024,0.0,2024
91,Retailer B,Occupied,Object of Interest - Place of Worship,RZ04,consumption 2024,31.03,2024
93,Retailer J,Occupied,Commercial - Hotel/Motel/Boarding/Guest House,RZ04,consumption 2024,4529.69,2024
94,Retailer B,Vacant,Commercial - Retail,RZ01,consumption 2024,38.23,2024
95,Retailer B,Occupied,Commercial - Animal Centre,RZ03,consumption 2024,182.8,2024
96,Retailer A,Occupied,Commercial - Community Services,RZ03,consumption 2024,73.88,2024
97,Retailer A,Occupied,Object of Interest - Place of Worship,RZ06,consumption 2024,44.6,2024
98,Retailer D,Occupied,Commercial - Leisure,RZ08,consumption 2024,303.28,2024
100,Retailer B,Occupied,Parent Shell - Property Shell,RZ06,consumption 2024,897.09,2024
101,Retailer B,Occupied,Commercial - Hotel/Motel/Boarding/Guest House,RZ02,consumption 2024,329.28,2024
102,Retailer A,Occupied,Commercial - Office,RZ01,consumption 2024,20.81,2024
103,Retailer G,Occupied,Commercial - Retail,RZ04,consumption 2024,127.23,2024
105,Retailer B,Occupied,Residential - Dwelling,RZ04,consumption 2024,25.01,2024
107,Retailer B,Occupied,,RZ06,consumption 2024,0.0,2024
109,Retailer B,Occupied,Commercial - Community Services,RZ04,consumption 2024,4.76,2024
110,Retailer B,Occupied,Residential - Dwelling,RZ03,consumption 2024,8009.81,2024
111,Retailer D,Occupied,,RZ07,consumption 2024,84.66,2024
112,Retailer B,Occupied,Object of Interest - Place of Worship,RZ05,consumption 2024,2.34,2024
113,Retailer A,Occupied,Commercial - Retail,RZ08,consumption 2024,342.08,2024
114,Retailer B,Occupied,Commercial - Retail,RZ03,consumption 2024,9.91,2024
115,Retailer K,Occupied,Commercial - Retail,RZ01,consumption 2024,2525.47,2024
116,Retailer A,Occupied,Commercial - Office,RZ02,consumption 2024,89.55,2024
117,Retailer A,Occupied,Commercial - Medical,RZ03,consumption 2024,53.26,2024
118,Retailer A,Occupied,Commercial - Retail,RZ03,consumption 2024,61.91,2024
119,Retailer A,Vacant,Parent Shell - Property Shell,RZ02,consumption 2024,25.34,2024
120,Retailer B,Occupied,Commercial - Retail,RZ02,consumption 2024,90.77,2024
