business_type,year,consumption
Commercial - Agricultural,2020,2435.66
Commercial - Agricultural,2021,1432.99
Commercial - Agricultural,2022,205952.24
Commercial - Agricultural,2023,192855.96
Commercial - Agricultural,2024,195753.56
Commercial - Animal Centre,2023,1526.27
Commercial - Animal Centre,2024,182.8
Commercial - Community Services,2020,48.21
Commercial - Community Services,2021,199.44
Commercial - Community Services,2022,63.239999999999995
Commercial - Community Services,2023,124.36
Commercial - Community Services,2024,130.73
Commercial - Education,2020,2373.25
Commercial - Education,2021,4206.31
Commercial - Education,2022,3859.44
Commercial - Education,2023,5202.59
Commercial - Education,2024,4422.28
Commercial - Emergency/Rescue Service,2020,26.62
Commercial - Emergency/Rescue Service,2021,22.6
Commercial - Emergency/Rescue Service,2022,25.01
Commercial - Emergency/Rescue Service,2023,29.56
Commercial - Emergency/Rescue Service,2024,43.88
Commercial - Hotel/Motel/Boarding/Guest House,2020,11997.38
Commercial - Hotel/Motel/Boarding/Guest House,2021,9217.58
Commercial - Hotel/Motel/Boarding/Guest House,2022,8030.699999999999
Commercial - Hotel/Motel/Boarding/Guest House,2023,9812.48
Commercial - Hotel/Motel/Boarding/Guest House,2024,11493.25
Commercial - Industrial,2020,2510.4900000000002
Commercial - Industrial,2021,2746.84
Commercial - Industrial,2022,2883.1600000000003
Commercial - Industrial,2023,2787.67
Commercial - Industrial,2024,2105.59
Commercial - Leisure,2020,2112.04
Commercial - Leisure,2021,1144.0800000000002
Commercial - Leisure,2022,1859.42
Commercial - Leisure,2023,2425.23
Commercial - Leisure,2024,1643.53
Commercial - Medical,2020,370.36
Commercial - Medical,2021,381.83
Commercial - Medical,2022,311.24
Commercial - Medical,2023,623.49
Commercial - Medical,2024,351.53
Commercial - Office,2020,2774.52
Commercial - Office,2021,2048.59
Commercial - Office,2022,2108.47
Commercial - Office,2023,8816.970000000001
Commercial - Office,2024,2173.17
Commercial - Retail,2020,7857.31
Commercial - Retail,2021,11554.01
Commercial - Retail,2022,14339.740000000002
Commercial - Retail,2023,14516.53
Commercial - Retail,2024,15486.49
Commercial - Storage Land,2020,0.0
Commercial - Storage Land,2021,0.0
Commercial - Storage Land,2022,0.0
Commercial - Storage Land,2023,0.0
Commercial - Transport,2020,0.0
Commercial - Transport,2021,1.24
Commercial - Transport,2023,2.51
Commercial - Transport,2024,3.95
Commercial - Utility,2020,0.0
Commercial - Utility,2022,-11.08
Commercial - Utility,2024,2.21
Dual Use,2021,157.61
Dual Use,2022,139.18
Dual Use,2023,126.51
Dual Use,2024,158.61
Land - Allotment,2020,0.0
Land - Allotment,2021,589.34
Land - Allotment,2022,442.63
Land - Allotment,2023,201.16
Land - Allotment,2024,435.08
Object of Interest - Place of Worship,2020,103.28
Object of Interest - Place of Worship,2021,996.35
Object of Interest - Place of Worship,2022,153.09
Object of Interest - Place of Worship,2023,190.59
Object of Interest - Place of Worship,2024,202.51
Parent Shell - Property Shell,2020,3363.69
Parent Shell - Property Shell,2021,3497.8199999999997
Parent Shell - Property Shell,2022,5243.67
Parent Shell - Property Shell,2023,3636.56
Parent Shell - Property Shell,2024,3317.0699999999997
Residential - Dwelling,2020,14394.34
Residential - Dwelling,2021,13687.35
Residential - Dwelling,2022,16523.58
Residential - Dwelling,2023,16222.93
Residential - Dwelling,2024,16850.8
Residential - Residential Institution,2020,2015.07
Residential - Residential Institution,2021,1755.04
Residential - Residential Institution,2022,1759.47
Residential - Residential Institution,2023,2330.93
Residential - Residential Institution,2024,2298.74
,2020,4246.66
,2021,7244.2699999999995
,2022,7375.6900000000005
,2023,10714.32
,2024,14183.74
