resource zone,year,consumption
RZ,2020,733.88
RZ,2021,717.99
RZ,2022,706.45
RZ,2023,663.5
RZ,2024,92.59
RZ01,2020,4468.849999999999
RZ01,2021,7188.64
RZ01,2022,4574.42
RZ01,2023,6185.95
RZ01,2024,5883.0199999999995
RZ02,2020,7142.19
RZ02,2021,4647.43
RZ02,2022,6189.22
RZ02,2023,20854.14
RZ02,2024,16192.819999999998
RZ03,2020,12180.49
RZ03,2021,12623.15
RZ03,2022,13310.470000000001
RZ03,2023,17141.69
RZ03,2024,22303.940000000002
RZ04,2020,19957.17
RZ04,2021,20939.3
RZ04,2022,22288.27
RZ04,2023,24818.5
RZ04,2024,18490.57
RZ05,2020,5621.28
RZ05,2021,5849.07
RZ05,2022,6127.95
RZ05,2023,5379.7300000000005
RZ05,2024,7508.65
RZ06,2020,3693.49
RZ06,2021,4240.56
RZ06,2022,4948.36
RZ06,2023,-3083.73
RZ06,2024,3838.18
RZ07,2020,597.23
RZ07,2021,860.6400000000001
RZ07,2022,746.39
RZ07,2023,769.29
RZ07,2024,1105.3
RZ08,2020,2234.3
RZ08,2021,3816.51
RZ08,2022,212167.36
RZ08,2023,199417.55000000002
RZ08,2024,195824.44999999998
